Company Name,Tok code
Avanti West Coast,AW
c2c,CC
Caledonian Sleeper,CS
Chiltern Railways,CH
CrossCountry,XC
East Midlands Railway,EM
Gatwick Express,GX
Grand Central Railway,GC
Great Northern,GN
Great Western Railway,GW
Greater Anglia,LE
Heathrow Express,HX
Hull Trains,HT
Island Line,IL
London North Eastern Railway,GR
London Northwestern Railway,LN
Lumo,LD
Merseyrail,ME
Northern,NT
ScotRail,SR
South Western Railway,SW
Southeastern,SE
Southern,SN
Stansted Express,SX
Thameslink,TL
TransPennine Express,TP
Transport for Wales,AW
West Midlands Railway,LM

GB Railfreight,GB
Heathrow Connect,HC
Locomotive Services,LS
London Overground,LO
Network Rail (On-Track Machines),PG
North Yorkshire Moors Railway,NY
South Yorkshire Supertram,SY